[Tue Feb 23 16:39:21.830600 2016] [:error] [pid 2853] [client 192.168.1.5:52855] PHP Parse error:  syntax error, unexpected ''Hi, wellcome.'' (T_CONSTANT_ENCAPSED_STRING) in /var/www/Quote/public_html/application/models/Validate.php on line 21, referer: http://quote.com/login
[Tue Feb 23 16:39:41.691467 2016] [:error] [pid 3737] [client 192.168.1.5:52857] PHP Fatal error:  Function name must be a string in /var/www/Quote/public_html/application/models/Validate.php on line 21, referer: http://quote.com/login
[Tue Feb 23 16:39:53.181878 2016] [:error] [pid 2852] [client 192.168.1.5:52858] PHP Fatal error:  Function name must be a string in /var/www/Quote/public_html/application/models/Validate.php on line 21, referer: http://quote.com/login
[Tue Feb 23 16:40:17.269077 2016] [:error] [pid 2851] [client 192.168.1.5:52861] PHP Parse error:  syntax error, unexpected 'username' (T_STRING) in /var/www/Quote/public_html/application/models/Validate.php on line 21, referer: http://quote.com/login
[Tue Feb 23 16:41:26.923672 2016] [:error] [pid 3738] [client 192.168.1.5:52866] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in /var/www/Quote/public_html/application/models/Validate.php on line 22, referer: http://quote.com/login
[Tue Feb 23 16:41:35.310289 2016] [:error] [pid 2849] [client 192.168.1.5:52867] PHP Fatal error:  Function name must be a string in /var/www/Quote/public_html/application/models/Validate.php on line 21, referer: http://quote.com/login
[Tue Feb 23 16:42:53.426502 2016] [:error] [pid 2850] [client 192.168.1.5:52868] PHP Fatal error:  Function name must be a string in /var/www/Quote/public_html/application/models/Validate.php on line 21, referer: http://quote.com/login
[Tue Feb 23 16:43:03.393032 2016] [:error] [pid 3188] [client 192.168.1.5:52869] PHP Fatal error:  Function name must be a string in /var/www/Quote/public_html/application/models/Validate.php on line 21, referer: http://quote.com/login
[Tue Feb 23 18:12:37.024532 2016] [:error] [pid 3738] [client 192.168.1.5:53304] PHP Fatal error:  Cannot redeclare class Profile in /var/www/Quote/public_html/application/models/User.php on line 22, referer: http://quote.com/
[Tue Feb 23 18:21:16.931189 2016] [:error] [pid 2851] [client 192.168.1.5:53381] PHP Parse error:  syntax error, unexpected '$id_user' (T_VARIABLE) in /var/www/Quote/public_html/application/models/User.php on line 10, referer: http://quote.com/
[Tue Feb 23 18:39:53.713024 2016] [:error] [pid 3737] [client 192.168.1.5:53550] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /var/www/Quote/public_html/application/models/User.php on line 14, referer: http://quote.com/
[Tue Feb 23 18:40:07.643673 2016] [:error] [pid 3736] [client 192.168.1.5:53551] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/models/User.php on line 25, referer: http://quote.com/
[Tue Feb 23 18:40:08.610951 2016] [:error] [pid 3736] [client 192.168.1.5:53551] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/models/User.php on line 25, referer: http://quote.com/
[Tue Feb 23 18:40:17.339545 2016] [:error] [pid 2852] [client 192.168.1.5:53552] PHP Fatal error:  Call to undefined function get_cards() in /var/www/Quote/public_html/application/models/User.php on line 11, referer: http://quote.com/
[Tue Feb 23 18:40:18.736503 2016] [:error] [pid 3188] [client 192.168.1.5:53553] PHP Fatal error:  Call to undefined function get_cards() in /var/www/Quote/public_html/application/models/User.php on line 11, referer: http://quote.com/
[Tue Feb 23 18:40:57.428361 2016] [:error] [pid 2850] [client 192.168.1.5:53554] PHP Fatal error:  Call to a member function result() on a non-object in /var/www/Quote/public_html/application/models/User.php on line 20, referer: http://quote.com/
[Tue Feb 23 18:40:58.636823 2016] [:error] [pid 3738] [client 192.168.1.5:53555] PHP Fatal error:  Call to a member function result() on a non-object in /var/www/Quote/public_html/application/models/User.php on line 20, referer: http://quote.com/
[Tue Feb 23 18:55:38.409386 2016] [:error] [pid 2849] [client 192.168.1.5:53652] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/models/User.php on line 29, referer: http://quote.com/
[Tue Feb 23 18:56:04.299361 2016] [:error] [pid 2852] [client 192.168.1.5:53656] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::result() in /var/www/Quote/public_html/application/models/User.php on line 11, referer: http://quote.com/
[Tue Feb 23 18:58:04.770789 2016] [:error] [pid 3736] [client 192.168.1.5:53674] PHP Parse error:  syntax error, unexpected ':' in /var/www/Quote/public_html/application/views/profile.php on line 2, referer: http://quote.com/
[Tue Feb 23 19:05:47.445555 2016] [:error] [pid 2852] [client 192.168.1.5:53756] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /var/www/Quote/public_html/application/views/profile.php on line 6, referer: http://quote.com/
[Tue Feb 23 19:05:48.435847 2016] [:error] [pid 2852] [client 192.168.1.5:53756] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /var/www/Quote/public_html/application/views/profile.php on line 6, referer: http://quote.com/
[Tue Feb 23 19:10:22.089356 2016] [:error] [pid 2852] [client 192.168.1.5:53815] PHP Fatal error:  Call to undefined method stdClass::strupper() in /var/www/Quote/public_html/application/views/profile.php on line 9, referer: http://quote.com/profile/2
[Tue Feb 23 19:10:49.001900 2016] [:error] [pid 3738] [client 192.168.1.5:53817] PHP Fatal error:  Call to undefined function strupper() in /var/www/Quote/public_html/application/views/profile.php on line 9, referer: http://quote.com/profile/2
[Tue Feb 23 19:10:49.910715 2016] [:error] [pid 4508] [client 192.168.1.5:53818] PHP Fatal error:  Call to undefined function strupper() in /var/www/Quote/public_html/application/views/profile.php on line 9, referer: http://quote.com/profile/2
[Tue Feb 23 19:11:05.297252 2016] [:error] [pid 3737] [client 192.168.1.5:53820] PHP Fatal error:  Call to undefined function stroupper() in /var/www/Quote/public_html/application/views/profile.php on line 9, referer: http://quote.com/profile/2
[Tue Feb 23 19:14:14.397070 2016] [:error] [pid 2852] [client 192.168.1.5:53867] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /var/www/Quote/public_html/application/views/profile.php on line 5, referer: http://quote.com/
[Tue Feb 23 19:15:56.369814 2016] [:error] [pid 3738] [client 192.168.1.5:53869] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /var/www/Quote/public_html/application/views/profile.php on line 4, referer: http://quote.com/
